"team","week","Prob"
"NE",5,0.783850134389318
"NO",5,0.727000330606622
"NYG",5,0.467041520289851
"NYJ",5,0.294220627538352
"OAK",5,0.198129265416381
"PHI",5,0.705779372461648
"PIT",5,0.459785679945384
"SEA",5,0.346110507523585
"SF",5,0.386137174772509
"TB",5,0.272999669393378
"TEN",5,0.665818054124051
"WAS",5,0.216149865610682
"ARZ",6,0.395053264232292
"ATL",6,0.604946735767708
"BAL",6,0.734104701196554
"CAR",6,0.579585662272154
"CIN",6,0.265895298803446
"CLE",6,0.478489223609505
"DAL",6,0.540697757951104
"DEN",6,0.633772487790363
"DET",6,0.420632417717028
"GB",6,0.579367582282972
"HOU",6,0.276684738682747
"JAX",6,0.228682066697669
"KC",6,0.723315261317253
"LAC",6,0.627639233326907
"LAR",6,0.805739698163545
"MIA",6,0.496144974741645
"MIN",6,0.600954722820132
"NE",6,0.692221077299629
"NO",6,0.771317933302331
"NYG",6,0.307778922700371
"NYJ",6,0.459302242048896
"PHI",6,0.399045277179868
"PIT",6,0.372360766673093
"SEA",6,0.521510776390495
"SF",6,0.194260301836455
"TB",6,0.420414337727846
"TEN",6,0.366227512209637
"WAS",6,0.503855025258355
"ARZ",7,0.393889746069354
"ATL",7,0.276419340453664
"BAL",7,0.533332137108683
"BUF",7,0.532413858916186
"CHI",7,0.46746331261369
"CIN",7,0.511688058181061
"DAL",7,0.556403276384003
"DEN",7,0.265249637818978
"DET",7,0.335667103777302
"GB",7,0.668702556377848
"HOU",7,0.458235593342548
"IND",7,0.541764406657452
"JAX",7,0.488311941818939
"KC",7,0.734750362181022
"LAC",7,0.723779861740571
"LAR",7,0.723580659546336
"MIA",7,0.467586141083814
"MIN",7,0.664332896222698
"NE",7,0.757531813466417
"NO",7,0.53253668738631
"NYG",7,0.606110253930646
"NYJ",7,0.242468186533583
"OAK",7,0.331297443622152
"PHI",7,0.443596723615997
"SEA",7,0.466667862891317
"SF",7,0.444186120575085
"TEN",7,0.276220138259429
"WAS",7,0.555813879424915
"ARZ",8,0.266011127124193
"ATL",8,0.437289884619568
"BUF",8,0.435727244723962
"CAR",8,0.610333148653363
"CHI",8,0.434848390908546
"CIN",8,0.244391496606735
"CLE",8,0.315611944378358
"DEN",8,0.449654604054562
"DET",8,0.394806213371327
"GB",8,0.171805226685381
"HOU",8,0.78074258949051
"IND",8,0.550345395945438
"JAX",8,0.534987333185645
"KC",8,0.828194773314619
"LAC",8,0.565151609091454
"LAR",8,0.755608503393265
"MIA",8,0.305330093051469
"MIN",8,0.690632382265679
"NE",8,0.684388055621642
"NO",8,0.733988872875807
"NYG",8,0.605193786628673
"NYJ",8,0.465012666814355
"OAK",8,0.21925741050949
"PHI",8,0.564272755276038
"PIT",8,0.694669906948531
"SEA",8,0.562710115380432
"SF",8,0.389666851346637
"TB",8,0.405671291938134
"TEN",8,0.594328708061866
"WAS",8,0.309367617734321
"ARZ",9,0.54585318516421
"BAL",9,0.449404541672811
"BUF",9,0.533726562152811
"CAR",9,0.517647364445558
"CHI",9,0.582808079475464
"CLE",9,0.417711214701428
"DAL",9,0.434010305188149
"DEN",9,0.582288785298572
"DET",9,0.558209366330249
"GB",9,0.292272397529925
"HOU",9,0.673710346611123
"IND",9,0.541936151892972
"JAX",9,0.326289653388877
"KC",9,0.760625019686281
"LAC",9,0.707727602470075
"MIA",9,0.489423512562644
"MIN",9,0.239374980313719
"NE",9,0.550595458327189
"NYG",9,0.565989694811851
"NYJ",9,0.510576487437356
"OAK",9,0.441790633669751
"PHI",9,0.417191920524536
