"1","0","pred","obs","Decile","Ventile","Charged_off"
0.175,0.825,"0","0",9,18,0
0.5679,0.4321,"1","0",2,3,0
0.4898,0.5102,"0","0",3,6,0
0.7287,0.2713,"1","1",1,1,1
0.5364,0.4636,"1","0",2,4,0
0.3968,0.6032,"0","1",6,11,1
0.395,0.605,"0","1",6,11,1
0.336,0.664,"0","0",7,14,0
0.6152,0.3848,"1","1",1,2,1
0.4374,0.5626,"0","0",5,9,0
0.3172,0.6828,"0","1",8,15,1
0.5133,0.4867,"1","0",3,5,0
0.5215,0.4785,"1","1",3,5,1
0.5015,0.4985,"1","1",3,6,1
0.4539,0.5461,"0","1",4,8,1
0.4165,0.5835,"0","0",5,10,0
0.6414,0.3586,"1","1",1,2,1
0,1,"0","0",10,20,0
0.3088,0.6912,"0","0",8,15,0
0.3457,0.6543,"0","0",7,14,0
0.4764,0.5236,"0","1",4,7,1
0.2183,0.7817,"0","0",9,17,0
0.5207,0.4793,"1","1",3,5,1
0.2219,0.7781,"0","0",9,17,0
0.4741,0.5259,"0","1",4,7,1
0.2992,0.7008,"0","0",8,15,0
0.6371,0.3629,"1","0",1,2,0
0.4823,0.5177,"0","0",3,6,0
0.413,0.587,"0","0",5,10,0
0.3999,0.6001,"0","0",6,11,0
0.4399,0.5601,"0","1",4,8,1
0.4851,0.5149,"0","1",3,6,1
0.479,0.521,"0","1",4,7,1
0.5097,0.4903,"1","0",3,5,0
0.3676,0.6324,"0","0",7,13,0
0.8798,0.1202,"1","0",1,1,0
0.3678,0.6322,"0","0",7,13,0
0.5615,0.4385,"1","1",2,3,1
0.3526,0.6474,"0","1",7,13,1
0.3283,0.6717,"0","1",7,14,1
0.2516,0.7484,"0","1",9,17,1
0,1,"0","0",10,20,0
0.166,0.834,"0","0",9,18,0
0.3964,0.6036,"0","0",6,11,0
0.8464,0.1536,"1","1",1,1,1
0,1,"0","0",10,20,0
0.6169,0.3831,"1","0",1,2,0
0.5212,0.4788,"1","1",3,5,1
0.3516,0.6484,"0","0",7,13,0
0.5845,0.4155,"1","1",2,3,1
0.4114,0.5886,"0","1",5,10,1
0.4953,0.5047,"0","1",3,6,1
0.4307,0.5693,"0","1",5,9,1
0.223,0.777,"0","0",9,17,0
0.5645,0.4355,"1","0",2,3,0
0.5993,0.4007,"1","1",1,2,1
0.2001,0.7999,"0","0",9,18,0
0.4499,0.5501,"0","1",4,8,1
0.9396,0.0604,"1","1",1,1,1
0.7843,0.2157,"1","1",1,1,1
0.3403,0.6597,"0","1",7,14,1
0.4478,0.5522,"0","1",4,8,1
0.2026,0.7974,"0","0",9,18,0
0.8212,0.1788,"1","0",1,1,0
0,1,"0","0",10,20,0
0.5256,0.4744,"1","1",3,5,1
0.8156,0.1844,"1","1",1,1,1
0.3535,0.6465,"0","1",7,13,1
0.2955,0.7045,"0","1",8,15,1
0.4126,0.5874,"0","1",5,10,1
0.36,0.64,"0","0",7,13,0
0.2539,0.7461,"0","1",8,16,1
0.6264,0.3736,"1","1",1,2,1
0.4789,0.5211,"0","1",4,7,1
0.3465,0.6535,"0","0",7,13,0
0.217,0.783,"0","1",9,17,1
0.4915,0.5085,"0","0",3,6,0
0.1573,0.8427,"0","0",10,19,0
0.1515,0.8485,"0","0",10,19,0
0.5537,0.4463,"1","0",2,4,0
0.5275,0.4725,"1","0",3,5,0
0.6975,0.3025,"1","0",1,2,0
0.5401,0.4599,"1","0",2,4,0
0.2637,0.7363,"0","0",8,16,0
0.7876,0.2124,"1","1",1,1,1
0.3463,0.6537,"0","0",7,14,0
0.6464,0.3536,"1","1",1,2,1
0.4591,0.5409,"0","1",4,8,1
0.2435,0.7565,"0","0",9,17,0
0.4254,0.5746,"0","0",5,9,0
0.2048,0.7952,"0","0",9,18,0
0.8514,0.1486,"1","1",1,1,1
0.2184,0.7816,"0","0",9,17,0
0.4111,0.5889,"0","1",5,10,1
0.4,0.6,"0","0",6,11,0
0.3387,0.6613,"0","0",7,14,0
0.9167,0.0833,"1","1",1,1,1
0.6306,0.3694,"1","1",1,2,1
0.4156,0.5844,"0","1",5,10,1
0.3182,0.6818,"0","1",8,15,1
0.3188,0.6812,"0","1",8,15,1
0.3647,0.6353,"0","1",7,13,1
0.3705,0.6295,"0","0",6,12,0
0.1324,0.8676,"0","1",10,19,1
0.5144,0.4856,"1","1",3,5,1
0.3858,0.6142,"0","0",6,12,0
0.601,0.399,"1","0",1,2,0
0.8365,0.1635,"1","1",1,1,1
0.2561,0.7439,"0","0",8,16,0
0.9324,0.0676,"1","1",1,1,1
0.3559,0.6441,"0","0",7,13,0
0.2757,0.7243,"0","1",8,16,1
0.9268,0.0732,"1","1",1,1,1
0,1,"0","0",10,20,0
0.4549,0.5451,"0","1",4,8,1
0.4803,0.5197,"0","0",4,7,0
0.6142,0.3858,"1","1",1,2,1
0.476,0.524,"0","1",4,7,1
0.5387,0.4613,"1","0",2,4,0
0.1373,0.8627,"0","0",10,19,0
0.5159,0.4841,"1","0",3,5,0
0.2918,0.7082,"0","0",8,15,0
0.5554,0.4446,"1","0",2,4,0
0.4615,0.5385,"0","0",4,7,0
0.4237,0.5763,"0","0",5,9,0
0.3899,0.6101,"0","1",6,11,1
0.4791,0.5209,"0","0",4,7,0
0.3651,0.6349,"0","0",7,13,0
0.4045,0.5955,"0","1",6,11,1
0.3838,0.6162,"0","1",6,12,1
0.3165,0.6835,"0","0",8,15,0
0.4937,0.5063,"0","0",3,6,0
0.5596,0.4404,"1","1",2,3,1
0.8976,0.1024,"1","1",1,1,1
0.5819,0.4181,"1","0",2,3,0
0.5353,0.4647,"1","1",2,4,1
0.2918,0.7082,"0","0",8,15,0
0.1341,0.8659,"0","0",10,19,0
0.3358,0.6642,"0","0",7,14,0
0.7036,0.2964,"1","0",1,2,0
0.2551,0.7449,"0","0",8,16,0
0.4992,0.5008,"0","1",3,6,1
0.5521,0.4479,"1","0",2,4,0
0.5223,0.4777,"1","1",3,5,1
0.515,0.485,"1","0",3,5,0
0.3439,0.6561,"0","0",7,14,0
0.3813,0.6187,"0","1",6,12,1
0.2255,0.7745,"0","1",9,17,1
0.5547,0.4453,"1","1",2,4,1
0.8567,0.1433,"1","1",1,1,1
0.417,0.583,"0","0",5,10,0
0.6225,0.3775,"1","1",1,2,1
0.8443,0.1557,"1","1",1,1,1
0.3539,0.6461,"0","1",7,13,1
0.6915,0.3085,"1","0",1,2,0
0.416,0.584,"0","0",5,10,0
0.4415,0.5585,"0","0",4,8,0
0.4356,0.5644,"0","0",5,9,0
0.5163,0.4837,"1","1",3,5,1
0.3322,0.6678,"0","0",7,14,0
0,1,"0","0",10,20,0
0.4387,0.5613,"0","0",5,9,0
0.2075,0.7925,"0","0",9,18,0
0.4192,0.5808,"0","1",5,10,1
0.3613,0.6387,"0","1",7,13,1
0.2205,0.7795,"0","0",9,17,0
0.3707,0.6293,"0","0",6,12,0
0.5226,0.4774,"1","0",3,5,0
0.7249,0.2751,"1","1",1,2,1
0.318,0.682,"0","0",8,15,0
0.7968,0.2032,"1","1",1,1,1
0.3451,0.6549,"0","0",7,14,0
0.912,0.088,"1","1",1,1,1
0.5839,0.4161,"1","1",2,3,1
0.4122,0.5878,"0","1",5,10,1
0.4238,0.5762,"0","1",5,9,1
0.9069,0.0931,"1","1",1,1,1
0.239,0.761,"0","1",9,17,1
0.852,0.148,"1","1",1,1,1
0.5523,0.4477,"1","1",2,4,1
0.4479,0.5521,"0","1",4,8,1
0.6142,0.3858,"1","1",1,2,1
0,1,"0","0",10,20,0
0.3605,0.6395,"0","0",7,13,0
0.7936,0.2064,"1","1",1,1,1
0.8365,0.1635,"1","1",1,1,1
0.4214,0.5786,"0","1",5,9,1
0.3248,0.6752,"0","0",7,14,0
0.16,0.84,"0","0",10,19,0
0.6284,0.3716,"1","0",1,2,0
0.3098,0.6902,"0","0",8,15,0
0.0893,0.9107,"0","0",10,20,0
0.3141,0.6859,"0","1",8,15,1
0.5189,0.4811,"1","1",3,5,1
0.1823,0.8177,"0","0",9,18,0
0.5174,0.4826,"1","1",3,5,1
0.4314,0.5686,"0","1",5,9,1
0.9018,0.0982,"1","1",1,1,1
0.3037,0.6963,"0","1",8,15,1
0.4085,0.5915,"0","0",5,10,0
0.4167,0.5833,"0","1",5,10,1
0.3792,0.6208,"0","0",6,12,0
0.2986,0.7014,"0","0",8,15,0
0.4441,0.5559,"0","0",4,8,0
0.5942,0.4058,"1","1",2,3,1
0.2657,0.7343,"0","1",8,16,1
0.568,0.432,"1","1",2,3,1
0.4778,0.5222,"0","0",4,7,0
0.4087,0.5913,"0","1",5,10,1
0.3753,0.6247,"0","0",6,12,0
0.363,0.637,"0","0",7,13,0
0.9042,0.0958,"1","1",1,1,1
0.4968,0.5032,"0","1",3,6,1
0.3297,0.6703,"0","0",7,14,0
0.5556,0.4444,"1","1",2,3,1
0.2061,0.7939,"0","1",9,18,1
0.3094,0.6906,"0","0",8,15,0
0.1853,0.8147,"0","0",9,18,0
0.4815,0.5185,"0","1",3,6,1
0.3919,0.6081,"0","0",6,11,0
0.5055,0.4945,"1","0",3,6,0
0.4109,0.5891,"0","1",5,10,1
0.4277,0.5723,"0","0",5,9,0
0.4938,0.5062,"0","1",3,6,1
0.398,0.602,"0","0",6,11,0
0.6203,0.3797,"1","1",1,2,1
0.8614,0.1386,"1","1",1,1,1
0.8705,0.1295,"1","0",1,1,0
